2021-02-15 21:12:36 |Mean: -90.7 -86.9 |SD: 15.5463 15.4689 |SEmean: 4.91618 4.89169 |SEPLA: 16.3051 16.2239 |INTERVAL1: -127.582 -53.8178 |INTERVAL2: -123.598 -50.2015 |Integral: 0.359677 0.420968 |Routing: 1 0
2021-02-15 21:12:47 |Mean: -93.8 -89.4 |SD: 12.9758 15.1245 |SEmean: 4.10332 4.78278 |SEPLA: 13.6092 15.8627 |INTERVAL1: -124.584 -63.0161 |INTERVAL2: -125.281 -53.5186 |Integral: 0.309677 0.380645 |Routing: 1 0
2021-02-15 21:12:57 |Mean: -88 -82.7 |SD: 12.8634 13.6197 |SEmean: 4.06777 4.30692 |SEPLA: 13.4913 14.2844 |INTERVAL1: -118.517 -57.4827 |INTERVAL2: -115.011 -50.3886 |Integral: 0.403226 0.48871 |Routing: 1 0
2021-02-15 21:13:07 |Mean: -91.2 -94.3 |SD: 14.8536 13.0754 |SEmean: 4.69713 4.13481 |SEPLA: 15.5786 13.7136 |INTERVAL1: -126.439 -55.9612 |INTERVAL2: -125.32 -63.2798 |Integral: 0.351613 0.301613 |Routing: 0 1
2021-02-15 21:13:17 |Mean: -83.9 -87.3 |SD: 12.956 18.3516 |SEmean: 4.09705 5.80327 |SEPLA: 13.5884 19.2473 |INTERVAL1: -114.637 -53.1631 |INTERVAL2: -130.837 -43.7626 |Integral: 0.469355 0.414516 |Routing: 1 0
2021-02-15 21:13:28 |Mean: -86.1 -89.5 |SD: 11.7691 13.7641 |SEmean: 3.72173 4.35261 |SEPLA: 12.3436 14.436 |INTERVAL1: -114.021 -58.1788 |INTERVAL2: -122.154 -56.8459 |Integral: 0.433871 0.379032 |Routing: 1 0
2021-02-15 21:13:38 |Mean: -92 -85.1 |SD: 12.509 15.0342 |SEmean: 3.95568 4.75423 |SEPLA: 13.1195 15.768 |INTERVAL1: -121.676 -62.3236 |INTERVAL2: -120.767 -49.4328 |Integral: 0.33871 0.45 |Routing: 1 0
2021-02-15 21:13:48 |Mean: -85.1 -82.3 |SD: 9.64889 10.4492 |SEmean: 3.05125 3.30434 |SEPLA: 10.1198 10.9593 |INTERVAL1: -107.991 -62.2089 |INTERVAL2: -107.09 -57.5102 |Integral: 0.45 0.495161 |Routing: 1 0
2021-02-15 21:13:58 |Mean: -90.5 -90.3 |SD: 15.9602 16.1762 |SEmean: 5.04705 5.11537 |SEPLA: 16.7392 16.9658 |INTERVAL1: -128.364 -52.636 |INTERVAL2: -128.677 -51.9234 |Integral: 0.362903 0.366129 |Routing: 1 0
2021-02-15 21:14:09 |Mean: -88.9 -99.6 |SD: 18.4886 10.8955 |SEmean: 5.8466 3.44545 |SEPLA: 19.391 11.4273 |INTERVAL1: -132.762 -45.0376 |INTERVAL2: -125.448 -73.7516 |Integral: 0.38871 0.216129 |Routing: 0 1
2021-02-15 21:14:19 |Mean: -84.1 -93.9 |SD: 16.9787 14.4205 |SEmean: 5.36913 4.56017 |SEPLA: 17.8074 15.1244 |INTERVAL1: -124.38 -43.8196 |INTERVAL2: -128.111 -59.6887 |Integral: 0.466129 0.308065 |Routing: 0 1
2021-02-15 21:14:29 |Mean: -86.3 -92.1 |SD: 12.1039 18.2143 |SEmean: 3.82759 5.75987 |SEPLA: 12.6947 19.1033 |INTERVAL1: -115.015 -57.5846 |INTERVAL2: -135.312 -48.8883 |Integral: 0.430645 0.337097 |Routing: 1 0
2021-02-15 21:14:39 |Mean: -87.2 -93 |SD: 13.5414 16.9793 |SEmean: 4.28216 5.36934 |SEPLA: 14.2023 17.8081 |INTERVAL1: -119.326 -55.0743 |INTERVAL2: -133.282 -52.7181 |Integral: 0.416129 0.322581 |Routing: 1 0
2021-02-15 21:14:50 |Mean: -87.1 -80 |SD: 19.2712 13.8149 |SEmean: 6.09408 4.36866 |SEPLA: 20.2118 14.4892 |INTERVAL1: -132.819 -41.381 |INTERVAL2: -112.775 -47.2254 |Integral: 0.417742 0.532258 |Routing: 0 1
2021-02-15 21:15:00 |Mean: -88.1 -85.1 |SD: 13.8854 10.4789 |SEmean: 4.39094 3.31373 |SEPLA: 14.5631 10.9904 |INTERVAL1: -121.042 -55.1582 |INTERVAL2: -109.96 -60.2397 |Integral: 0.401613 0.45 |Routing: 0 1
2021-02-15 21:15:10 |Mean: -83.5 -90.4 |SD: 13.2583 15.5726 |SEmean: 4.19265 4.9245 |SEPLA: 13.9054 16.3327 |INTERVAL1: -114.954 -52.0459 |INTERVAL2: -127.345 -53.4554 |Integral: 0.475806 0.364516 |Routing: 1 0
2021-02-15 21:15:20 |Mean: -87 -94.9 |SD: 15.1584 13.0925 |SEmean: 4.7935 4.14023 |SEPLA: 15.8982 13.7316 |INTERVAL1: -122.962 -51.0382 |INTERVAL2: -125.961 -63.8392 |Integral: 0.419355 0.291935 |Routing: 0 1
2021-02-15 21:15:30 |Mean: -86.4 -89.3 |SD: 14.3187 8.725 |SEmean: 4.52798 2.75909 |SEPLA: 15.0176 9.15086 |INTERVAL1: -120.37 -52.4301 |INTERVAL2: -109.999 -68.6008 |Integral: 0.429032 0.382258 |Routing: 0 1
2021-02-15 21:15:41 |Mean: -86.7 -88.6 |SD: 13.1399 10.7708 |SEmean: 4.1552 3.40603 |SEPLA: 13.7812 11.2965 |INTERVAL1: -117.873 -55.5269 |INTERVAL2: -114.153 -63.0472 |Integral: 0.424194 0.393548 |Routing: 0 1
2021-02-15 21:15:51 |Mean: -93.7 -85.5 |SD: 17.4786 15.657 |SEmean: 5.52723 4.95119 |SEPLA: 18.3317 16.4212 |INTERVAL1: -135.166 -52.2336 |INTERVAL2: -122.645 -48.3551 |Integral: 0.31129 0.443548 |Routing: 0 1
2021-02-15 21:16:01 |Mean: -88.7 -79.1 |SD: 14.172 9.01438 |SEmean: 4.48158 2.8506 |SEPLA: 14.8637 9.45436 |INTERVAL1: -122.322 -55.0783 |INTERVAL2: -100.486 -57.7142 |Integral: 0.391935 0.546774 |Routing: 0 1
2021-02-15 21:16:11 |Mean: -94.8 -89.1 |SD: 16.9564 12.7622 |SEmean: 5.36209 4.03577 |SEPLA: 17.784 13.3851 |INTERVAL1: -135.027 -54.5725 |INTERVAL2: -119.377 -58.8228 |Integral: 0.293548 0.385484 |Routing: 0 1
2021-02-15 21:16:22 |Mean: -86.1 -96.6 |SD: 14.1169 13.8269 |SEmean: 4.46416 4.37246 |SEPLA: 14.8059 14.5018 |INTERVAL1: -119.591 -52.609 |INTERVAL2: -129.403 -63.7969 |Integral: 0.433871 0.264516 |Routing: 0 1
2021-02-15 21:16:32 |Mean: -87.4 -95.8 |SD: 16.6665 10.1323 |SEmean: 5.2704 3.20412 |SEPLA: 17.4799 10.6269 |INTERVAL1: -126.94 -47.8604 |INTERVAL2: -119.838 -71.7621 |Integral: 0.412903 0.277419 |Routing: 0 1
2021-02-15 21:16:42 |Mean: -89.6 -91.5 |SD: 15.349 13.9368 |SEmean: 4.85378 4.40721 |SEPLA: 16.0982 14.6171 |INTERVAL1: -126.014 -53.1859 |INTERVAL2: -124.564 -58.4362 |Integral: 0.377419 0.346774 |Routing: 0 1
2021-02-15 21:16:52 |Mean: -82.2 -88.7 |SD: 15.6677 13.4348 |SEmean: 4.95455 4.24845 |SEPLA: 16.4324 14.0905 |INTERVAL1: -119.37 -45.03 |INTERVAL2: -120.573 -56.8272 |Integral: 0.496774 0.391935 |Routing: 0 1
2021-02-15 21:17:03 |Mean: -94.7 -81.6 |SD: 11.7332 13.0768 |SEmean: 3.71037 4.13523 |SEPLA: 12.3059 13.715 |INTERVAL1: -122.536 -66.864 |INTERVAL2: -112.623 -50.5766 |Integral: 0.295161 0.506452 |Routing: 1 0
2021-02-15 21:17:13 |Mean: -93.5 -88.5 |SD: 17.8324 16.3172 |SEmean: 5.63911 5.15996 |SEPLA: 18.7028 17.1136 |INTERVAL1: -135.806 -51.1942 |INTERVAL2: -127.211 -49.7889 |Integral: 0.314516 0.395161 |Routing: 0 1
2021-02-15 21:17:23 |Mean: -95.2 -84.7 |SD: 15.7038 16.4734 |SEmean: 4.96597 5.20936 |SEPLA: 16.4702 17.2775 |INTERVAL1: -132.456 -57.9443 |INTERVAL2: -123.782 -45.6183 |Integral: 0.287097 0.456452 |Routing: 1 0
2021-02-15 21:17:33 |Mean: -94.2 -84.8 |SD: 12.4139 13.5936 |SEmean: 3.92562 4.29866 |SEPLA: 13.0198 14.257 |INTERVAL1: -123.651 -64.7492 |INTERVAL2: -117.049 -52.5506 |Integral: 0.303226 0.454839 |Routing: 1 0
2021-02-15 21:17:44 |Mean: -91.1 -88 |SD: 12.5598 14.1557 |SEmean: 3.97175 4.47644 |SEPLA: 13.1728 14.8467 |INTERVAL1: -120.897 -61.3031 |INTERVAL2: -121.583 -54.4169 |Integral: 0.353226 0.403226 |Routing: 1 0
2021-02-15 21:17:54 |Mean: -85.1 -88.3 |SD: 12.974 14.7422 |SEmean: 4.10275 4.66189 |SEPLA: 13.6073 15.4617 |INTERVAL1: -115.88 -54.3204 |INTERVAL2: -123.274 -53.3255 |Integral: 0.45 0.398387 |Routing: 1 0
2021-02-15 21:18:04 |Mean: -96.8 -86.1 |SD: 8.99889 9.07992 |SEmean: 2.8457 2.87132 |SEPLA: 9.43812 9.5231 |INTERVAL1: -118.149 -75.451 |INTERVAL2: -107.641 -64.5588 |Integral: 0.26129 0.433871 |Routing: 1 0
2021-02-15 21:18:14 |Mean: -95.2 -86 |SD: 13.9513 12.9653 |SEmean: 4.41177 4.09999 |SEPLA: 14.6322 13.5981 |INTERVAL1: -128.298 -62.102 |INTERVAL2: -116.759 -55.241 |Integral: 0.287097 0.435484 |Routing: 0 1
2021-02-15 21:18:24 |Mean: -90.3 -87.4 |SD: 13.0766 13.0439 |SEmean: 4.13519 4.12485 |SEPLA: 13.7149 13.6806 |INTERVAL1: -121.323 -59.2769 |INTERVAL2: -118.345 -56.4545 |Integral: 0.366129 0.412903 |Routing: 0 1
2021-02-15 21:18:35 |Mean: -89.4 -80 |SD: 12.2229 10.4607 |SEmean: 3.86522 3.30796 |SEPLA: 12.8195 10.9713 |INTERVAL1: -118.398 -60.4023 |INTERVAL2: -104.817 -55.183 |Integral: 0.380645 0.532258 |Routing: 0 1
2021-02-15 21:18:45 |Mean: -85.3 -87.7 |SD: 17.2202 14.3824 |SEmean: 5.44551 4.54811 |SEPLA: 18.0607 15.0844 |INTERVAL1: -126.153 -44.4467 |INTERVAL2: -121.821 -53.5791 |Integral: 0.446774 0.408065 |Routing: 0 1
